               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12184,            0.073831,             0.04843,          0.00058789,           0.0046296,          0.00039337,          3.9337e-05,             0.12775,            0.054386,            0.048142,              0.0955,              0.0005,              0.0005
                   1,             0.11821,            0.074731,            0.046059,           0.0021959,            0.023148,           0.0015546,          0.00031683,             0.11916,            0.061984,            0.042925,            0.090089,           0.0010891,           0.0010891
                   2,             0.10952,            0.091679,            0.043227,            0.005386,            0.083333,           0.0070851,           0.0016363,             0.10795,             0.07273,             0.03826,            0.084666,           0.0016663,           0.0016663
                   3,             0.10333,            0.096066,            0.039378,           0.0092366,             0.15741,            0.022384,           0.0069779,             0.10106,            0.078247,            0.035684,            0.079232,           0.0022317,           0.0022317
                   4,             0.09661,            0.097473,            0.036869,            0.063469,            0.056633,            0.042704,            0.012478,            0.096065,            0.079765,            0.031944,            0.073785,           0.0027852,           0.0027852
                   5,             0.09142,            0.098578,            0.032373,             0.80847,            0.064815,            0.059138,            0.017769,            0.090616,             0.08231,            0.027046,            0.068327,           0.0033267,           0.0033267
                   6,            0.088136,             0.09205,            0.028505,             0.69663,            0.078704,            0.017087,            0.007121,             0.09414,              0.1253,            0.023508,            0.062856,           0.0038565,           0.0038565
                   7,            0.084933,            0.083229,            0.025776,             0.73803,             0.11111,            0.038633,            0.011224,            0.085328,             0.15226,            0.023126,            0.057374,           0.0043743,           0.0043743
                   8,            0.081905,             0.08679,            0.026678,             0.71902,             0.19444,            0.057879,            0.015913,            0.088138,             0.12023,            0.022939,             0.05188,           0.0048802,           0.0048802
                   9,             0.08054,             0.07711,            0.021912,             0.79189,             0.17273,             0.14088,            0.037078,             0.07618,            0.091648,            0.021666,            0.046374,           0.0053743,           0.0053743
                  10,            0.075753,            0.081223,             0.02127,             0.72533,             0.13426,            0.055446,            0.017772,            0.080715,            0.094045,            0.020634,            0.040857,           0.0058565,           0.0058565
                  11,            0.074072,            0.078926,            0.022261,             0.74181,               0.125,            0.091484,            0.025604,            0.085727,            0.082207,            0.019518,            0.035327,           0.0063268,           0.0063268
                  12,            0.076169,            0.070961,            0.019155,              0.7737,             0.13576,             0.12579,            0.047012,            0.078701,            0.069707,            0.019074,            0.029785,           0.0067852,           0.0067852
                  13,            0.074045,             0.07634,            0.019561,             0.76407,             0.12037,             0.11254,            0.050189,            0.082643,            0.066328,            0.018967,            0.024232,           0.0072318,           0.0072318
                  14,            0.073474,            0.076323,            0.021418,             0.77774,             0.11574,             0.12505,             0.03791,             0.07287,            0.063455,            0.018696,            0.018666,           0.0076665,           0.0076665
